ISO,internet,year,elec,capital,hc,water,contract,rail,ed,land,truck
SLV,-0.011979694,1994,0.019346669,-2.49E-10,0.000356332,-0.078912238,0.039103164,0.013684354,-0.048864723,-0.002514378,0.054078371
SGP,-0.012100388,1994,0.013435244,1.977724268687106e-08,0.000996152,-0.085680938,0.056906015,0.010286873,0.01188502,-0.003370811,0.025485407
COD,-0.012309863,1994,0.029238356,-4.85E-09,0.000168889,-0.06935204,0.018888025,0.011139715,-0.014028264,0.000212163,0.053670277
MYS,-0.012585722,1994,0.010895144,1.3053054513650754e-08,0.000819509,-0.096058585,0.056681523,0.008820818,0.021531407,-0.002957411,0.025580267
DOM,-0.013408031,1994,0.008788832,-2.00E-09,0.000454835,-0.095515842,0.060034458,0.010095343,-0.048116546,-0.001721159,0.040879718
TGO,-0.013566905,1994,0.048787575,-1.71E-08,-0.000514363,-0.032143382,0.024244418,0.016166909,-0.025851089,0.002489458,0.028894982
PRY,-0.013740318,1994,0.017176445,-8.45E-09,0.000191535,-0.023503137,0.028595929,0.015289578,-0.056011025,0.007335345,0.045980833
MUS,-0.014133192,1994,0.011920361,-9.17E-09,0.000100487,-0.094384044,0.059005888,0.013748391,-0.034520247,-0.002559728,0.045410595
KHM,-0.014962167,1994,-0.003237097,-8.57E-09,0.00016785,-0.109184109,0.045831643,0.006963242,-0.009036566,-2.24E-05,0.034199961
TUN,-0.015229156,1994,0.022843769,1.3051219812270464e-09,0.000415434,-0.089289117,0.048315026,0.012047609,-0.044272273,-0.001507861,0.035487689
LKA,-0.01527604,1994,0.011505894,-7.90E-09,0.000201795,-0.089088621,0.052342364,0.007305058,-0.038762453,-0.002997744,0.045181575
VNM,-0.015702794,1994,0.008292379,-3.62E-09,0.00019953,-0.059893814,0.03146759,0.017808113,-0.069444646,-0.000700558,0.039030579
COL,-0.015808731,1994,0.018517813,-1.50E-10,0.000348913,-0.056137904,0.023529245,0.018818553,-0.032659419,-0.001449115,0.04232204
PER,-0.016842187,1994,0.045671472,1.7940859782428951e-09,0.000617255,-0.07611566,0.020973415,0.014659753,-0.027964517,0.000484051,0.074961847
KEN,-0.016879832,1994,0.029873939,-3.93E-09,0.000268649,-0.05876001,0.022453394,0.020384618,-0.048949201,-0.002409395,0.059322462
ETH,-0.01745039,1994,0.008944261,-1.97E-09,0.000245844,-0.058754517,0.017773765,0.008702948,-0.089778669,-0.001999917,0.079190463
GTM,-0.017470793,1994,0.015164324,-2.30E-09,0.000326502,-0.065912406,0.037614411,0.016596448,-0.046298449,-0.002145654,0.049232584
CMR,-0.01879353,1994,-0.00031698,-5.47E-09,8.338614970933842e-05,-0.041845514,0.018709418,0.0043156,-0.011943448,-0.000423986,0.020731818
ARM,-0.018819126,1994,0.027923997,5.954944030825673e-10,0.000295096,-0.100459641,0.038540406,0.008755308,0.015258282,-0.000889389,0.053383415
UGA,-0.019553014,1994,0.012065934,-5.71E-09,8.687613903998813e-05,-0.039478625,0.006226534,0.010710801,-0.037889506,-0.001889054,0.077195634
BGD,-0.020873833,1994,0.007020358,-9.44E-09,4.408739118731675e-05,-0.101009926,0.064746995,0.002399975,-0.061407414,-0.002535559,0.035886043
CHL,-0.0208813,1994,0.044580621,5.378287650237546e-09,0.000840211,-0.068265774,0.02645452,0.022823217,-0.036940166,0.000196797,0.047921924
PNG,-0.020888944,1994,0.02652053,-7.04E-09,9.06921262171631e-05,-0.065909553,0.019267934,0.005304713,-0.034149774,-0.000512838,0.031561806
AZE,-0.020963406,1994,0.021066031,-1.18E-08,-0.000523897,0.01019819,0.013552244,0.010643631,-0.009591073,0.003107017,0.02688045
NIC,-0.021469535,1994,0.008989571,-1.74E-09,0.00036996,-0.065605822,0.028363121,0.013522819,-0.029726002,0.001009174,0.073905387
PHL,-0.02171455,1994,0.012290141,9.937251101316816e-09,0.0007275,-0.09786414,0.055779798,0.005772839,0.010846329,-0.003195712,0.026218631
CUB,-0.022731629,1994,0.016621936,-4.65E-09,0.000511774,-0.073334588,0.025751514,0.027718818,-0.058218965,-0.00016184,0.04366588
MMR,-0.023405198,1994,0.002189684,-6.73E-09,0.000264012,-0.079726082,0.037874236,0.011197719,0.003273152,0.000751961,0.033500427
MAR,-0.023605541,1994,0.028576245,-1.78E-10,0.000366314,-0.084273106,0.044854873,0.011317157,-0.044005893,-0.001474712,0.032745098
BFA,-0.023786456,1994,0.01868953,-1.96E-08,-0.000913028,0.006854788,0.026543348,0.00996542,-0.08219651,0.004601177,0.039048916
MWI,-0.024190232,1994,0.010870576,-1.92E-08,-0.000427052,0.022441199,0.024823255,0.010805567,-0.028375061,-0.001331995,0.031201239
CYP,-0.027837902,1994,0.014126338,8.554684813748339e-09,0.000749649,-0.080643482,0.042548551,0.01064731,-0.091035816,-0.001218243,0.029208103
TZA,-0.027875985,1994,0.01555653,-1.18E-08,-0.000184568,-0.024427412,0.023692805,0.010837732,-0.022821318,0.000449596,0.043434086
TJK,-0.028025088,1994,0.016390985,-1.04E-08,-0.0005722,0.051410936,0.008545904,0.010335929,-0.030864373,0.005390461,0.019436329
TKM,-0.028265762,1994,0.005365814,-2.45E-08,-0.001302166,0.054396942,0.020089327,0.00698666,-0.007744213,0.008457261,0.017064564
HND,-0.028371871,1994,0.004386412,-4.91E-09,0.000289409,-0.079105065,0.048917957,0.005097008,-0.055965729,-0.001906578,0.040372446
UZB,-0.028621033,1994,0.013839948,-2.31E-08,-0.00124186,0.044283698,0.021282588,0.008690269,-0.027644256,0.008420326,0.023174114
MNG,-0.028848666,1994,0.049088477,-1.11E-08,0.000421143,-0.094802076,0.032109778,0.010608555,-0.027002352,0.000721316,0.056049128
GHA,-0.029513722,1994,0.01298106,-7.12E-09,9.088027089954592e-05,-0.061486634,0.030093838,0.009032221,-0.002641378,-0.000954493,0.030827252
JAM,-0.029622656,1994,0.017694137,2.1904792411051662e-09,0.000580988,-0.091243056,0.051517822,0.012463412,-0.04836943,-0.000628503,0.03953631
MLI,-0.029935515,1994,0.002712617,-1.60E-08,-0.000876189,0.029428335,0.033695994,0.004589121,0.025574092,0.006131605,0.016983476
MDG,-0.031270769,1994,0.006166125,-5.44E-09,0.000303014,-0.066171039,0.038381506,0.007180593,-0.045735029,-0.001877488,0.041879996
CRI,-0.031858136,1994,0.005191512,-1.98E-09,0.000434154,-0.055881689,0.043532989,0.007378244,-0.032773434,-0.002645634,0.034753929
ECU,-0.034678313,1994,-0.000973926,-2.45E-09,0.000257919,-0.037300433,0.025002275,0.004467909,-0.026503462,-0.001536631,0.021385004
CIV,-0.036241977,1994,0.006491691,-1.58E-08,-0.000235992,-0.033862467,0.031970695,0.009278806,-0.014735516,-0.001310505,0.031941985
MRT,-0.037243471,1994,0.044825037,3.769831946918236e-09,0.000648903,-0.102225031,0.037395025,0.004907317,-0.036709183,0.004427636,0.017381502
SEN,-0.039377729,1994,0.000897922,-7.09E-10,7.336446967759093e-05,-0.094088688,0.030466663,0.003152595,-0.038910577,-0.000639013,0.034615282
MOZ,-0.040062938,1994,0.003730494,-4.97E-09,0.000177227,-0.054658741,0.038489008,0.00964396,-0.026986696,0.001906539,0.021679463
GEO,0.014405112,1995,0.068412431,7.167103679550442e-09,0.000909361,-0.062957936,0.012258462,0.073288678,-0.023785459,0.002235287,0.070819723
BIH,0.008719306,1995,0.026863597,6.9561638301534205e-09,0.000707828,-0.084237167,0.049135406,0.018849613,-0.095460958,-0.000833756,0.048573003
CZE,0.008095157,1995,0.043308501,1.90084706421322e-08,0.001015819,-0.076078023,0.041672232,0.037746098,-0.042975465,-0.00027837,0.04895101
AUT,0.007728687,1995,0.038425526,2.5096094294083965e-08,0.001112606,-0.082201975,0.047778178,0.028890231,-0.040225793,-0.000827789,0.045492784
POL,0.006267821,1995,0.039080194,1.3770969566339246e-08,0.000916928,-0.079070437,0.040475522,0.034489469,-0.055130714,0.000105756,0.048707985
SVK,0.006001329,1995,0.048769092,1.6750169636029197e-08,0.000960439,-0.070350789,0.032602631,0.0424317,-0.049225227,-8.81E-05,0.052041542
ITA,0.005577526,1995,0.029006271,2.1375234324403878e-08,0.000988033,-0.082950126,0.050908993,0.022496768,-0.052062845,-0.001297038,0.04240619
DNK,0.004975814,1995,0.020314562,2.1414091771274216e-08,0.001020574,-0.080259832,0.041643486,0.020131069,-0.046365068,-0.000390801,0.054941411
UKR,0.004748783,1995,0.059780293,6.594407415215344e-09,0.000835389,-0.063630224,0.011828559,0.054517703,-0.033716541,0.002379104,0.06009379
SVN,0.004658417,1995,0.032846212,2.0828936843458505e-08,0.001036401,-0.08428993,0.050783971,0.024791038,-0.050170135,-0.000845981,0.04451067
SWE,0.004573485,1995,0.034684515,2.7009781627885425e-08,0.00120495,-0.086049399,0.051071689,0.028236527,-0.038688474,-0.000419888,0.039801576
FIN,0.00432074,1995,0.051114876,2.6335035743680212e-08,0.001133743,-0.077068825,0.038596016,0.036364593,-0.04976433,-0.000430366,0.043470014
DEU,0.00395436,1995,0.031970452,2.76968241307685e-08,0.001185339,-0.079595093,0.052261304,0.025201261,-0.034138799,-0.00090311,0.04238659
KAZ,0.002767396,1995,0.066031285,6.7669534358551854e-09,0.000764284,-0.045867361,0.008415246,0.050191874,-0.042098433,0.003940602,0.063721332
ROU,0.002053636,1995,0.038363937,9.039850929793438e-09,0.000740003,-0.072608141,0.032223884,0.03176631,-0.062170421,-0.000335589,0.048208328
BRA,0.001546634,1995,0.04595141,8.447831517172044e-09,0.000767727,-0.065732676,0.02862057,0.03377063,-0.064360858,0.00163118,0.054500493
HUN,0.001489983,1995,0.029222809,1.669203635129844e-08,0.000941237,-0.068925731,0.041339058,0.024342946,-0.045150864,-0.00031752,0.051238359
HRV,0.001328991,1995,0.029460146,1.157592558889126e-08,0.000771666,-0.073780838,0.034702046,0.020966698,-0.06429892,-0.001246822,0.040424355
EST,0.001285286,1995,0.030301429,1.0484446389160685e-08,0.000808338,-0.07694762,0.037079113,0.023619868,-0.046554182,-0.00065325,0.046540953
BEL,0.000268211,1995,0.039450849,2.2448872929569185e-08,0.001033041,-0.071562772,0.041211535,0.030946526,-0.041148396,-0.000681645,0.051163321
CAN,0.000125003,1995,0.035611636,2.1352770139609693e-08,0.001062921,-0.073345115,0.047733551,0.02779841,-0.048976492,0.000946216,0.042393869
SRB,1.3768135139697356e-18,1995,-6.40E-19,1.2749805673847214e-13,7.877866820344775e-19,1.009493256327194e-18,-1.99E-18,-1.21E-18,1.0431162042661569e-17,5.766353361888701e-19,-1.08E-17
SWZ,8.05241026877796e-19,1995,-3.05E-18,-8.29E-15,-3.54E-19,2.2102732112768805e-18,7.910503606549232e-21,4.325165849296372e-19,2.524979928650156e-18,-9.00E-19,-6.00E-18
NAM,4.211812724403269e-19,1995,-1.26E-17,3.9666611296627264e-14,-4.01E-19,5.206333861448075e-18,8.201706104547144e-18,3.2566623806835227e-18,1.5617821354662404e-17,-2.15E-19,3.883416869733859e-18
